Status,Address,distance,acessibility,S/A,Price,For Tax Year,Gross Taxes,Sold Date,Days On Market,Age,Area,Total Bedrooms,Total Baths,Lot Sz (Sq.Ft.),Floor Area -Grand Total,Original Price,List Price,Driveway Finish,Floor Area - Unfinished,GST Incl,Foundation,Floor Area Fin - Basement,Zoning,Parking Places - Covered,# Rms,No. Floor Levels,Frontage - Feet,Depth,Type,,,Public Remarks
S,12462 114 AVENUE,,,F21,"$735,000 ",2019,"$2,626.54 ",11/19/20,283,1021,North Surrey,2,1,"8,821.00",952,"$906,000 ","$750,000 ",,0,,Concrete Perimeter,0,SFD,0,5,1,66,131,House/Single Family,,,"First time buyer Alert over 8800 sqft. lot !! Good investment property , back lane access, Lots of parking space on the back of the property. Walking distance to skytrain,bus and school. community park in front of the house. easy access to HWY 17 and Pattullo bridge. cozy house rented for $1500.00 per month and backspace parking rented for $600 in total per month."
S,12666 114 AVENUE,,,F21,"$740,000 ",2019,"$2,613.74 ",9/5/20,12,999,North Surrey,3,1,"8,671.00",810,"$769,000 ","$769,000 ",,0,,Concrete Perimeter,0,RES,32,6,1,71,122,House/Single Family,,,"Big rectangular, corner lot. Starter home facing park. Lots of parking, many updates. New floor & blinds."
S,14036 116 AVENUE,,,F22,"$742,000 ",2019,"$3,305.78 ",6/10/20,5,42,North Surrey,4,2,"7,141.00","1,888","$749,980 ","$749,980 ",,0,,Concrete Perimeter,0,RA,1,11,2,54.79,131.76,House/Single Family,,,"Mountain/River views and a beautiful sized SOUTH FACING 7,000 sqft private backyard make this a home you will not want to miss. This well cared for 4bd 2bath home is headache-free with a NEW roof, NEW H/W tank, and NEW furnace. The main living area boasts a 189 sqft wrap-around balcony that is perfect for enjoying those sunny days and the basement boasts a WALKOUT 1bd suite with shared laundry. Located in one of the nicest neighborhoods of Bolivar Heights and is the perfect building lot in the future. Single garage, school nearby, quick access to Patullo Bridge. Near Surrey Central Mall. The best-priced starter home on the market and a solid investment for a future custom home!"
S,11171 131A STREET,,,F26,"$750,000 ",2019,"$3,062.32 ",7/30/20,16,52,North Surrey,3,2,"6,068.00","1,402","$773,000 ","$773,000 ",,0,,Concrete Perimeter,0,SFR,,10,1,60,100,House/Single Family,,,Great opportunity to own this detached home.
S,11360 140A STREET,,,F22,"$755,000 ",2019,"$3,228.00 ",6/26/20,9,45,North Surrey,4,3,"7,469.00","1,115","$769,000 ","$769,000 ",Gravel,0,,Concrete Perimeter,0,SFD,1,8,1,149.3,49.99,House/Single Family,,,"BUILDER/INVESTOR ALERT. RANCHER ON A CORNER LOT WITH BACK LANE ACCESS. Beautiful mountain view from the sundeck. This beauty has 3 bedroom plus 1 Office, 3 bath, a single car garage and extra parking. Updates include laminate floors, new hot water tank, vinyl windows, and fridge & stove. The living room has a wood burning fireplace that adds to the ambiance. The fully fenced yard and a great sundeck for summer entertainment. The home is on a quiet street and close to shopping, schools and transit. One bedroom can be rented separately from rest of the house as unauthorized side studio. One year old roof. MUST SEE!!!"
S,14427 MELROSE DRIVE,,,F22,"$760,000 ",2019,"$3,662.97 ",6/19/20,11,27,North Surrey,3,2,"11,469.00","1,476","$769,900 ","$769,900 ",,0,,Concrete Perimeter,0,RF,2,9,1,29.33,154,House/Single Family,,,"Great quiet family style neighbourhood.  2x6' construction, level entry rancher on a 4 foot crawl space.  Large 11,469 sq. ft. lot.  Fully fenced yard, large driveway with opportunity for lots of parking or RV.  Sides onto a park, no thru road provides you a quiet street setting to renovate this home or build your estate. This home needs TLC and repairs throughout.  No flooring in the majority of the home.  Main bathroom fixtures have been removed. Easy to view."
S,14948 KEW DRIVE,,,F22,"$760,000 ",2019,"$3,187.26 ",10/21/20,128,62,North Surrey,4,1,"7,573.00","1,460","$799,550 ","$799,550 ",,0,,Concrete Block,0,SFD,1,10,1,45,100 irr,House/Single Family,,,"Great investment property offered at lot value! Spacious rancher with great curb appeal in popular Birdland area. Next to Robin park, easy access to Hwy 1. 5 mins drive to Guildford mall, Rec-centre, Walmart, Superstore. Showings on Sunday 3-5 pm by appt."
S,14156 PARK DRIVE,,,F22,"$760,000 ",2019,"$2,977.02 ",10/22/20,44,32,North Surrey,5,2,"6,632.00","2,188","$879,888 ","$829,888 ",Gravel,0,,Concrete Perimeter,"1,094",RF,1,12,2,154,85,House/Single Family,,,"Diamond in the rough. bring your design ideas for this 5 bdrm 2 bath bsmt plan in convenient Bolivar Heights location North Surrey. great room sizes, bsmt 2 bdrm with mortgage helper. Outside storage/workshop wired with seperate panel. ideal for hobbyist/mechanic. walk to desireable schools James Ardiel elementary or surrey traditional school. Open  parking Lot is irregular over 6600 sq ft."
S,10845 144 STREET,,,F22,"$765,000 ",2019,"$3,255.94 ",7/9/20,86,66,North Surrey,2,1,"8,400.00",923,"$829,900 ","$799,900 ",,0,,Concrete Perimeter,0,RF,,6,1,60,140,House/Single Family,,,"Stunning PRIVATE lot backing onto a treed ravine! Cute 50's home WELL CARED FOR by owners there for over 30 years!  Build your dream home, or put some updates in and call it home!  GREAT LOCATION on a quiet street, just a few blocks from schools & transit. WALKING DISTANCE to Gateway SKYTRAIN, & a short drive to SFU, Central City Shopping Centre, Guildford Mall & Rec Centre, Pattullo bridge, & Hwy 1. DO NOT DISTURB OWNER W/O APPT TO VIEW BACK YARD."
S,15118 RAVEN PLACE,,,F22,"$780,000 ",2019,"$3,148.59 ",8/28/20,10,62,North Surrey,3,1,"7,210.00","1,204","$835,000 ","$835,000 ",,0,,Concrete Perimeter,0,SF,1,8,1,109.98,72,House/Single Family,,,"Great place to start or a great investment property!  First Time on the market!  Clean, very well maintained 3 bed rancher in Birdland subdivision, situated on 7200 sq ft corner lot. Upgrades over the past few years include roof, furnace, HW tank, A/C, some flooring and a walk in tub. Other is heated room attached to back of garage and could be used as heated storage, workshop, or?? Excellent location in an excellent subdivision, only minutes to Guildford Mall. transit and Hwy #1."
S,12444 PARK DRIVE,,,F25,"$780,000 ",2019,"$2,992.66 ",10/1/20,3,60,North Surrey,4,1,"12,071.00","2,083","$799,999 ","$799,999 ",Concrete,"1,016",,Concrete Perimeter,0,CD,1,11,2,77.29,134,House/Single Family,,,"History abounds in this original owner home looking for a new family to bring it back to its luster.  Tucked away on a quiet street of similar family homes and on a huge private lot backing onto  Robson Ravine.  This solid  home is a blank canvas with tons of opportunity to make it your own.  With original HW floors in some rooms but needs flooring in LR & kitchen, roof recently replaced. You can enjoy the private sunny yard surrounded by greenbelt and the birds and wildlife it has to offer and has a nice winter peek a boo view.  This home does need some updating but a great opportunity to get into this very desirable neighbourhood."
S,14115 114 AVENUE,,,F22,"$780,000 ",2019,"$3,116.31 ",8/2/20,13,67,North Surrey,2,1,"7,350.00",735,"$789,900 ","$789,900 ",,0,,Concrete Perimeter,0,SFD,,5,1,50,147,House/Single Family,,,"Incredible opportunity for first time buyers and investors and builders !!! 2 bed 1 bath rancher on 7350 sqft lot with amazing view of River, Mountains and City lights. HUGE 7350 SQFT LOT with no easements or right of ways and may 3 LEVEL HOUSES in the neighborhood and BACKLANE .   A short trip to all major shopping malls, schools, transit, hwy 1 and hwy 17 and Port Mann Bridge. Call today!"
S,14869 BLACKBIRD CRESCENT,,,F22,"$780,000 ",2019,"$3,206.41 ",8/26/20,14,62,North Surrey,3,1,"7,672.00","1,260","$795,000 ","$795,000 ",,0,,Concrete Perimeter,0,SF,,7,1,60,129,House/Single Family,,,"AMAZING opportunity for first time home buyers and investors! STUNNING rancher in Birdland! 3 bed 1 bath rancher offers the gourmet kitchen with custom Cherry Wood cabinets w/designer back-splash, Stainless Steel appliances (gas stove), vinyl windows, nice mix of quality laminate & parquet floors, main bathroom with huge stand up shower (heated floors), and more! Outdoors offers siding/window casings, soffit lighting, Huge Sunny tiered deck, matching 16'x9' shed, trellis with lots of colorful plantation, fully landscaped yard including privacy hedge all backing onto a very private Greenbelt! Don't miss this fantastic opportunity.. Call Today! "
S,10335 124A STREET,,,F25,"$785,000 ",2019,"$3,278.93 ",6/30/20,7,51,North Surrey,4,3,"17,075.00","2,100","$899,900 ","$849,900 ",,0,,Concrete Perimeter,0,CD,2,8,2,65.7,263,House/Single Family,,,"A home with great potential and privacy if preferred. An incredible sized lot of 17,075 Sq ft lot with a green space directly beside the property! Work is required but this could be a great home for someone that wishes to make a unit with lots of space. There is some great structure to the design of this home including the concrete pool area and the additional RV parking."
S,10093 MARY DRIVE,,,F25,"$790,000 ",2019,"$3,050.00 ",7/6/20,7,999,North Surrey,4,2,"7,200.00","1,433","$799,000 ","$799,000 ",,0,,Concrete Perimeter,0,CD,0,8,1,60,120,House/Single Family,,,"A Gem in St.Helen's Park - 3 Bedrooms Rancher with a BACHELOR SUITE.  This delightful Rancher nestled in a well kept established neighbourhood on a large private lot is the 'Perfect Family Home'! Massive covered patio and private West facing rear yard are tailor made for Summer BBQs, Family Fun and Entertaining! The detached Garage with workshop is a 'Handyman's Dream'. Back inside you will be wowed by the laminate wood floors, updated bathrooms and extensive Master suite complete with ensuite bathroom and sliding glass doors leading to the Patio. Conveniently located close to all amenities, this truly is a great place to raise your family. Don't miss out on an amazing opportunity to call this 'Your Home'!"
S,12667 115 AVENUE,,,F21,"$795,000 ",2019,"$2,586.90 ",9/21/20,14,62,North Surrey,3,2,"8,117.00","1,148","$779,000 ","$779,000 ",Asphalt,0,,Concrete Perimeter,0,RF,2,6,1,66,,House/Single Family,,,"Corner Lot! This professionally renovated 3 bedroom 2 bath home located across the community centre and walking distance to elementary school is a steal for under $800k. The house has been completely renovated with brand new wood flooring, 2 baths and new kitchen w/ high end black stainless appliance package, Quartz countertops and is surrounded with new fence. New Hot Water Tank, New Furnace and Deck . Large yard for the kids and pets and gardening space.A Must See!"
S,12421 113B AVENUE,,,F21,"$795,000 ",2019,"$3,209.96 ",8/26/20,22,60,North Surrey,5,5,"6,225.00","2,197","$799,000 ","$799,000 ",,0,,Concrete Slab,0,SFD,2,15,3,60,102,House/Single Family,,,"This revenue home with potential of $50,000 per year in rents. Home in good shape to live in plus be a landlord or have as an investment property and hold for future land use. Bridgeview is booming with a new Costco coming, breweries, commercial businesses, new recreation center, Patullo bridge and skytrain. Invest in Bridgeview, it will pay off.   "
S,14076 ANTRIM ROAD,,,F22,"$795,500 ",2019,"$3,448.00 ",9/27/20,59,999,North Surrey,2,1,"12,338.00",750,"$849,900 ","$814,900 ",Concrete,0,No,Concrete Slab,0,RF,,4,1,71.14,248,House/Single Family,,,"Perfect lot to build future home on this massive 12,330 sq. feet rectangular lot, 2 bedroom very clean rancher rented to long term tenants. RF lot, 2 storey building lot to build around 5000 square feet house. Might be possible to do land assembly and create multiple lots with adjoining parcels. No easements, NO ROW, clear lot, rent now build later."
S,9729 PRINCESS DRIVE,,,F24,"$800,000 ",2019,"$3,333.89 ",7/12/20,82,62,North Surrey,4,2,"7,200.00","2,092","$820,000 ","$820,000 ",Asphalt,0,,Concrete Perimeter,0,CDZ,,10,2,0,,House/Single Family,,,"Solid older home awaits your ideas. Great view of mtns and river. New roof 1 year ago. Easy commute from this location. Close to schools,park and shops."
S,14799 101 AVENUE,,,F27,"$800,000 ",2019,"$3,160.09 ",11/30/20,91,40,North Surrey,4,2,"4,000.00","1,820","$799,999 ","$819,999 ",Asphalt,0,,Concrete Perimeter,0,RF-G,1,8,3,40,100,House/Single Family,,,"S.O.L.D Firm. Location, Location, Location ! Newly updated and very well maintained 4 bedroom 2 bath corner lot home for growing family. Inside you will find vaulted ceiling on main and spacious, inviting family room down. Lovely gas fireplace in the living room   add coziness for the family enjoyment.  New hot water tank and furnace 2019, security system installed, large double closet in master bedroom. Lovely mature garden and courtyard with trees and flowering perennials and beautiful Green Timbers Urban Forest Park right across the road. Close to Guildford Town Centre mall, schools (Bonaccord, William F Davidson, Hjorth Road elementary and Johnson heights secondary), transit, rec - centre, pools, and library all within walking distance. Call for showing arrangement."
S,14491 115 AVENUE,,,F22,"$800,000 ",2019,"$3,487.89 ",6/25/20,18,46,North Surrey,4,3,"9,415.00","2,110","$830,000 ","$830,000 ",Asphalt,0,,Concrete Perimeter,950,RA,1,9,2,60,156,House/Single Family,,,"Great property for investors and builders! This cozy home 4 bedroom, 3 bath home on a huge lot is perfect to renovate, rent or rebuild. Main floor features living room, dining area, kitchen, 3 bedrooms and 2 bathrooms. Walkout basement with a kitchen and a huge living area.  Located in a quiet area. Renovate with your own ideas or build a brand new single family view home."
S,11314 ROYAL CRESCENT,,,F24,"$800,000 ",2019,"$3,234.20 ",8/26/20,85,61,North Surrey,3,2,"8,928.00","1,092","$849,888 ","$799,888 ",,0,,Concrete Perimeter,0,RF,1,8,1,67.64,132,House/Single Family,,,"Calling all builders/1st time buyer's/investor's. Great Location view Lot, 8928 SF corner lot, 3 bedroom + 2 bathroom Rancher in Royal Heights & possibility to build 3 level house. Please check with the city of Surrey. It has a great view of north shore mountains. Neat & clean Rancher. Sunny southern exposed backyard, patio and workshop to enjoy. This large RF Zoned Lot also benefit from separate lane access and close to schools, parks, Skytrain and easy access to Vancouver. Rented for $1750.00 Plus utilities."
S,11149 131A STREET,,,F26,"$800,000 ",2019,"$3,092.04 ",8/6/20,10,63,North Surrey,3,3,"6,000.00","1,532","$829,900 ","$829,900 ",,0,,Concrete Perimeter,0,SFR,1,10,1,60,,House/Single Family,,,"Great Location !! Beautifully Renovated 3 Bed 2.5 Bath home with separate living room and family room . Lot of improvements like Laminate Flooring,paint, new kitchen and bathrooms etc . Potential basement suite as mortgage helper if someone want to modify family room and 3rd bedroom. Prime location .  Close to everything. East access to new west minister or Barnaby . Walking distance to bus loop and Sky train station. For more information, please call or Text. OPEN HOUSE SUNDAY 02 AUGUST  2 PM TO 4 PM ."
S,13969 113 AVENUE,,,F22,"$800,500 ",2019,"$3,293.95 ",7/16/20,22,46,North Surrey,3,1,"8,555.25","1,175","$824,800 ","$824,800 ",Asphalt,0,No,Concrete Perimeter,0,CD,1,8,1,61,140.25,House/Single Family,,,"From the moment you step inside, you feel the warmth of the sun-drenched space as the bright sunlight fills the rooms. This cozy 3 bedroom RANCHER on a BIG 8,555 sq ft LOT is only a block from both the Surrey Traditional & James Ardiel Elementary Schools. This home has a great layout, newer windows, approx 5 yr old roof & a bus stop just steps from your front door for easy transit. With 3 doors opening to the large back patio, indoor/outdoor living & entertaining flows seamlessly. Enjoy your morning coffee or an evening glass of wine overlooking the beautiful greenery of the lush, private backyard & the peek-a-boo mountain view. This home has been filled with love & warm memories for many years, and it's now time for a new family to make this their happy place."
S,10100 HELEN DRIVE,,,F25,"$805,000 ",2020,"$3,021.14 ",11/12/20,36,64,North Surrey,3,1,"7,197.00",988,"$838,800 ","$838,800 ",,0,,Concrete Perimeter,0,CD,,6,1,61,120,House/Single Family,,,"BUILDERS, INVESTORS & FIRST TIME HOME BUYERS here is a property for you. Located in a quiet neighborhood in North Surrey. This 3 bedroom 1 bathroom home sits on over 7197 sq.ft. Home is clean, elegant, spacious. Close to schools, parks, easy transit access, and other amenities. Buy now, build later, great holding property to generate income while you wait to build. Don't miss out on this great investment property. Book your showing, before it's TOO LATE!!!"
S,11385 LANSDOWNE DRIVE,,,F22,"$805,000 ",2020,"$3,845.80 ",10/8/20,14,61,North Surrey,8,3,"7,866.00","2,899","$829,000 ","$829,000 ",Other,569,,Concrete Perimeter,873,RF,,15,2,64,138 X 64 X 29 X 41,House/Single Family,,,"WELCOME TO BOLIVAR HEIGHTS. This Home offers 8 bed rooms, 3 full baths with 7866SQ lot, specious living and dining area, forced air heat, ample parking space and  two rental suites (4bed rooms + Bachelor Suite) downstairs that can be used as mortgage helpers. Family-Orientated area to raise kids and much more. Conveniently located near transit, parks, schools, shopping and transit, and easy access to all major routes. Book your private showing before it gone."
S,11564 141A STREET,,,F22,"$810,000 ",2019,"$4,105.79 ",8/7/20,65,50,North Surrey,4,2,"11,385.00","2,059","$819,000 ","$819,000 ",Asphalt,0,,Concrete Perimeter,0,RA,2,13,2,80.85,180.21,House/Single Family,,,"Nature's Retreat in your own backyard with large 11,385 sq. ft. lot and Alexandra Creek crossing 30' feet from the back of this 180' deep property. 44' x 12' deck with amazing view across Fraser River perfect for entertaining. New roof 2008, upgraded vinyl windows and aluminum deck Railings, new shower and vanity in suite washroom. 3 Beds up / 1 Bed down with mortgage helper. Closed in Garage can be uses as additional bedroom for suite if you add a closet. James Ardial, Surrey Fundamental, and Kwantlen Park catchments. Private IRQA Islamic school 5 blocks away. Ideal as rental or first time buyer. Come see before its gone!"
S,11525 96 AVENUE,,,F24,"$810,000 ",2019,"$3,289.48 ",6/26/20,16,999,North Surrey,4,1,"10,450.00","1,850","$824,800 ","$824,800 ",,0,,Concrete Perimeter,0,RF,,8,3,50,209,House/Single Family,,,"Attention Builders/Investors! 10,450 SQ.FT. lot in beautiful Royal Heights area. No creeks, no watercourses!  Build your dream home with excellent view of mountains and New West city lights. Great neighborhood with lots of new homes. Close to all major routes. Bring your offer!"
S,14250 GROSVENOR ROAD,,,F22,"$810,000 ",2019,"$3,216.95 ",8/4/20,14,85,North Surrey,5,2,"8,918.00","2,313","$789,000 ","$789,000 ",,0,,Concrete Perimeter,0,RES,0,12,2,0,,House/Single Family,,,"Opportunities abound with this spacious, well maintained house in Bolivar Heights. The house is privately nestled in a natural & functional setting. Featuring 5 generous sized bedrooms, a lovely living room with cozy wood burning stove/fireplace, open concept kitchen & dining room. Endless windows throughout the home for an abundance of natural light. Features include vaulted ceilings, functional floor plan, & plenty of storage w/ 5 covered outdoor storage spaces. Just wait until you see the private, park like feel backyard with paving stones perfect for hosting a bbq! Stunning! Plus a large covered deck for relaxation. Conveniently located close to Transit, James Ardiel Elementary, Surrey Traditional School, Ivergarry Bike Park, Shopping, Restaurants, & easy access to BC-17."
S,12755 113B AVENUE,,,F21,"$815,000 ",2019,"$2,554.00 ",6/21/20,20,33,North Surrey,5,3,"5,002.00","2,438","$829,000 ","$829,000 ",Asphalt,0,,Concrete Perimeter,0,RF,1,13,2,50,,House/Single Family,,,"Renovated 5bdrms basement entry home on the quickly developing neighborhood. Beautiful and very functional laying out;  updated kitchen and floors, updated electric heating system, and hot water tank. Downstairs a two-bedroom rental suite can be a good mortgage helper. House is clean and spotless. Walking distance to Sky train station, Bus, Elementary School, minutes drive to New Westminster, easy access high way 17 to Richmond and No 1 highway. The most convenient location with the most affordable houses in Great Vancouver. Call for more details!!"
S,10627 141 STREET,,,F26,"$817,000 ",2019,"$3,205.11 ",8/5/20,47,42,North Surrey,5,2,"8,681.00","1,840","$898,898 ","$849,898 ",,0,,Concrete Perimeter,920,SFD,0,10,2,60,144,House/Single Family,,,"Well maintained long time owner home on a huge hard to find 8,681 sqft lot located in a great area. Big back yard with garden and lots of decks. This is an entertainers paradise (pool and hot tub are negotiable, if seller takes pool they agree to have the lawn filled and levelled). This home has 2 bedrooms upstairs and 2 bedrooms downstairs, 2 full bathrooms and a cosy 1 bdrm suite. Features include updated flooring, 2 gas fireplaces, fresh paint, and a 9 yr old roof warrantied for 35 years. Great location, close to all amenities in central downtown Surrey. Skytrain, transit, shopping (Walmart, Cdn Superstore, Guildford Town Centre, Surrey City Centre Mall), SFU, Surrey City hall, library and much more...HURRY! Backs onto Hydro ROW"
S,9648 151B STREET,,,F27,"$818,000 ",2019,"$3,367.74 ",9/8/20,19,33,North Surrey,3,3,"7,689.00","1,761","$828,000 ","$828,000 ",,0,,Concrete Perimeter,0,SFR,2,9,2,0,0,House/Single Family,,,"View this 3 bedroom, 2.5 bathroom, 1761 s.f. family home in a prime location of North Surrey. Features include a newer roof, fully fenced beautiful yard, nice wood working details, and perfect layout. Close to schools, transit & shopping."
S,15212 112 AVENUE,,,F23,"$820,000 ",2019,"$3,570.31 ",7/5/20,25,30,North Surrey,4,3,"7,931.00","2,001","$769,800 ","$848,000 ",Concrete,0,,Concrete Perimeter,0,RES,2,9,2,63,125.89,House/Single Family,,,"Rarely found opportunity in Fraser Heights. Well cared south backyard facing to Dogwood Campsite park. Master bedroom is on the main floor with another three bedrooms on the top floor. Easy access to shopping, parks, recreation, transit and all that Fraser Heights has to offer! The new house could be built quickly as well. House plan is made and ready to go. House is tenanted. It needs 24 hours for showing. Lots of options for this house. A great investment. Hold it for now and build later or move in ready."
S,14717 111 AVENUE,,,F22,"$820,000 ",2019,"$3,158.49 ",8/24/20,0,63,North Surrey,3,2,"7,347.00","1,726","$829,333 ","$829,333 ",,0,,Concrete Perimeter,0,SFR,,8,1,64,114.79,House/Single Family,,,"Renovated renovated renovated, IN the heart of city . features 3 bed 2 bath . With totally updated kitchen and a fully equipped detach shop with 200 amps , Rv parking , well manicured garden like back yard and smart lights . New roof and much more ."
